,node_a,node_b,size
0,Canada,Australia,2
1,Canada,Brazil,1
2,China,Australia,13
3,China,Belgium,2
4,China,Canada,6
5,Denmark,China,2
6,Finland,Australia,1
7,Finland,Belgium,1
8,Finland,China,1
9,Finland,Denmark,1
10,France,Australia,1
11,France,Austria,1
12,France,Belgium,2
13,France,Canada,3
14,France,China,4
15,France,Denmark,3
16,Germany,Australia,3
17,Germany,Austria,1
18,Germany,Belgium,1
19,Germany,Brazil,2
20,Germany,Canada,1
21,Germany,China,3
22,Germany,Denmark,1
23,Germany,Finland,3
24,Germany,France,5
25,Greece,Australia,1
26,Greece,France,1
27,Greece,Germany,1
28,Hong Kong,Belgium,1
29,Hong Kong,Canada,1
30,Hong Kong,China,14
31,India,Austria,1
32,India,Canada,2
33,India,China,2
34,India,France,1
35,India,Germany,2
36,Iran,Australia,1
37,Israel,Australia,1
38,Italy,Australia,1
39,Italy,Austria,2
40,Italy,Canada,1
41,Italy,Finland,1
42,Italy,France,11
43,Italy,Germany,5
44,Italy,Greece,1
45,Italy,India,1
46,Italy,Iran,1
47,Japan,Australia,1
48,Japan,Canada,6
49,Japan,China,6
50,Japan,France,1
51,Japan,Germany,1
52,Japan,India,2
53,Japan,Italy,1
54,Malaysia,Australia,1
55,Malaysia,India,1
56,Malaysia,Iran,1
57,Morocco,China,1
58,Morocco,France,2
59,Morocco,Hong Kong,1
60,Netherlands,Australia,3
61,Netherlands,Belgium,1
62,Netherlands,Canada,2
63,Netherlands,China,1
64,Netherlands,Finland,1
65,Netherlands,France,2
66,Netherlands,Germany,1
67,Netherlands,Italy,2
68,Portugal,Canada,1
69,Portugal,France,3
70,Portugal,Italy,1
71,Russian Federation,Australia,1
72,Russian Federation,Belgium,1
73,Russian Federation,Canada,1
74,Russian Federation,China,2
75,Russian Federation,Finland,1
76,Russian Federation,France,2
77,Russian Federation,Germany,3
78,Russian Federation,India,2
79,Russian Federation,Italy,2
80,Russian Federation,Japan,1
81,Russian Federation,Netherlands,1
82,Singapore,Australia,2
83,Singapore,China,4
84,Singapore,France,2
85,Singapore,Germany,1
86,Singapore,India,1
87,Singapore,Italy,1
88,Singapore,Netherlands,2
89,South Korea,Germany,2
90,Spain,Denmark,2
91,Spain,France,6
92,Spain,Germany,4
93,Spain,Greece,1
94,Spain,Italy,4
95,Spain,Japan,2
96,Spain,Malaysia,1
97,Spain,Netherlands,1
98,Spain,Portugal,2
99,Spain,South Korea,1
100,Sweden,Australia,1
101,Sweden,Belgium,1
102,Sweden,Canada,1
103,Sweden,China,2
104,Sweden,Finland,1
105,Sweden,Germany,3
106,Sweden,Greece,2
107,Sweden,India,2
108,Sweden,Portugal,1
109,Sweden,South Korea,1
110,Switzerland,Australia,2
111,Switzerland,China,1
112,Switzerland,France,2
113,Switzerland,Germany,3
114,Switzerland,Greece,1
115,Switzerland,Hong Kong,1
116,Switzerland,Italy,1
117,Switzerland,Japan,1
118,Switzerland,Singapore,1
119,Switzerland,Spain,2
120,Taiwan,Australia,2
121,Taiwan,Canada,1
122,Taiwan,China,1
123,Taiwan,Hong Kong,1
124,Taiwan,Japan,1
125,Taiwan,Sweden,1
126,United Kingdom,Australia,8
127,United Kingdom,Austria,1
128,United Kingdom,Belgium,5
129,United Kingdom,Brazil,2
130,United Kingdom,Canada,3
131,United Kingdom,China,13
132,United Kingdom,Denmark,2
133,United Kingdom,Finland,5
134,United Kingdom,France,8
135,United Kingdom,Germany,12
136,United Kingdom,Greece,2
137,United Kingdom,India,1
138,United Kingdom,Israel,1
139,United Kingdom,Italy,12
140,United Kingdom,Japan,4
141,United Kingdom,Netherlands,4
142,United Kingdom,Portugal,1
143,United Kingdom,Russian Federation,3
144,United Kingdom,South Korea,2
145,United Kingdom,Spain,7
146,United Kingdom,Sweden,2
147,United Kingdom,Switzerland,5
148,United States,Australia,19
149,United States,Austria,3
150,United States,Belgium,5
151,United States,Brazil,2
152,United States,Canada,15
153,United States,China,47
154,United States,Denmark,4
155,United States,Finland,2
156,United States,France,8
157,United States,Germany,16
158,United States,Greece,2
159,United States,Hong Kong,5
160,United States,India,4
161,United States,Israel,6
162,United States,Italy,16
163,United States,Japan,11
164,United States,Malaysia,2
165,United States,Morocco,1
166,United States,Netherlands,7
167,United States,Portugal,1
168,United States,Russian Federation,4
169,United States,Singapore,1
170,United States,South Korea,7
171,United States,Spain,9
172,United States,Sweden,4
173,United States,Switzerland,6
174,United States,Taiwan,1
175,United States,United Kingdom,31
